               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.053138,            0.025487,            0.015844,             0.60746,             0.88154,             0.88111,             0.42392,             0.02783,           0.0090258,           0.0049423,            0.002179,            0.002179,            0.002179
                  81,            0.028109,             0.01939,            0.010065,             0.88269,             0.74107,             0.93847,             0.46367,            0.026337,           0.0087564,           0.0047867,             0.00208,             0.00208,             0.00208
                  82,            0.040693,            0.024447,            0.009159,             0.88269,             0.74107,             0.93847,             0.46367,            0.026337,           0.0087564,           0.0047867,            0.001981,            0.001981,            0.001981
                  83,            0.042414,            0.021675,            0.010587,             0.79913,             0.74107,             0.92324,             0.47713,            0.025631,           0.0085812,           0.0046387,            0.001882,            0.001882,            0.001882
                  84,            0.037651,            0.028296,            0.013525,             0.79913,             0.74107,             0.92324,             0.47713,            0.025631,           0.0085812,           0.0046387,            0.001783,            0.001783,            0.001783
                  85,            0.041926,             0.02343,            0.013911,              0.9394,             0.75252,             0.95867,             0.51851,            0.023891,             0.00844,           0.0045609,            0.001684,            0.001684,            0.001684
                  86,            0.040129,            0.020347,            0.012892,              0.9394,             0.75252,             0.95867,             0.51851,            0.023891,             0.00844,           0.0045609,            0.001585,            0.001585,            0.001585
                  87,            0.055611,            0.035956,            0.011184,             0.88401,             0.75332,             0.95377,             0.51826,            0.025562,            0.008307,            0.004435,            0.001486,            0.001486,            0.001486
                  88,            0.044847,            0.023077,           0.0098535,             0.88401,             0.75332,             0.95377,             0.51826,            0.025562,            0.008307,            0.004435,            0.001387,            0.001387,            0.001387
                  89,             0.03813,            0.019962,            0.011103,             0.75485,             0.87804,             0.93846,             0.49991,            0.025527,           0.0082114,           0.0043709,            0.001288,            0.001288,            0.001288
                  90,            0.042023,              0.0227,           0.0080456,             0.75485,             0.87804,             0.93846,             0.49991,            0.025527,           0.0082114,           0.0043709,            0.001189,            0.001189,            0.001189
                  91,            0.044636,             0.02208,            0.011066,             0.88383,             0.89998,             0.98568,             0.54087,              0.0238,           0.0081828,           0.0042915,             0.00109,             0.00109,             0.00109
                  92,            0.056463,            0.024949,             0.01148,             0.88383,             0.89998,             0.98568,             0.54087,              0.0238,           0.0081828,           0.0042915,            0.000991,            0.000991,            0.000991
                  93,            0.047399,            0.028858,            0.011132,             0.89819,             0.89896,             0.98909,             0.55083,            0.022815,           0.0081542,            0.004232,            0.000892,            0.000892,            0.000892
                  94,             0.05971,            0.024599,            0.026371,             0.89819,             0.89896,             0.98909,             0.55083,            0.022815,           0.0081542,            0.004232,            0.000793,            0.000793,            0.000793
                  95,            0.042637,            0.020467,            0.021577,             0.88968,             0.94363,             0.98568,             0.56348,            0.022379,           0.0081329,           0.0041992,            0.000694,            0.000694,            0.000694
                  96,            0.040367,            0.023907,            0.010892,             0.88968,             0.94363,             0.98568,             0.56348,            0.022379,           0.0081329,           0.0041992,            0.000595,            0.000595,            0.000595
                  97,            0.040811,            0.019587,            0.013497,             0.89148,             0.93985,             0.98568,             0.57596,            0.022092,           0.0080919,           0.0041534,            0.000496,            0.000496,            0.000496
                  98,            0.025245,            0.015441,           0.0099479,             0.89148,             0.93985,             0.98568,             0.57596,            0.022092,           0.0080919,           0.0041534,            0.000397,            0.000397,            0.000397
                  99,            0.035657,            0.023947,            0.012543,             0.86788,             0.96595,             0.98296,             0.56803,            0.021891,           0.0081511,            0.004097,            0.000298,            0.000298,            0.000298
